Task,Category,Epic,Notes,Priority,Status,Type
"SwingVision: revisar output, exportable y data disponible para tracking de atletas",Team,,"Marco tiene prueba de un mes activa. Revisar juntos: qué exporta SwingVision, en qué formato, y qué métricas son útiles para tracking de performance de atletas. Definir cómo integrarlo a la plataforma. BLOQUEADO HASTA: bugs In Review resueltos + mobile first + auth real + pruebas finales de lanzamiento + landing.",Low,Backlog,Feature
PTF: cambiar campo 'técnica' → 'golpes bajo presión',Dev,Phase 1 — Core Features,"La técnica no es útil como dimensión de evaluación en el PTF. Reemplazar por 'golpes bajo presión' — misma lógica de comparación y display, solo se cambia el label. Hacer antes del lanzamiento con atletas reales para que los datos capturados tengan el nombre correcto desde el inicio.",High,Backlog,Feature
"F7 · Design polish P1 — Seguimiento: strip de pendientes, jerarquía visual, chip ACTUAL, sidebar limpio",Dev,,,High,Done,Feature
Revisar MFA / email confirmation para atletas y coaches,Dev,Phase 1 — Core Features,"El flow de signup de atletas asume session inmediata (email confirmation deshabilitado). Si se habilita email confirmation, el INSERT del atleta falla porque está después del check de sesión. Fix: guardar datos del atleta en user_metadata durante signUp y hacer el INSERT via onAuthStateChange cuando el usuario confirma. También evaluar Supabase MFA (TOTP) para coaches.",Low,Backlog,Feature
Landing — pedir quotes reales de atletas y papás para testimonials,Team,,"La sección de testimoniales actualmente tiene una cita anónima sin foto. Para que convierta necesita al menos 2-3 testimoniales con nombre, foto y contexto (qué nivel tiene el alumno, cuánto lleva en la academia). Coordinar con Marco quién puede dar el quote.",Medium,Backlog,Chore
Landing — definir sección Camino a USA con el equipo,Team,,"La sección Camino a USA de la landing necesita ser discutida con el equipo antes de redactarla en detalle. Por ahora aparece como aspiracional (card o bloque ligero). Requiere: qué promesas se hacen, qué proceso se describe, quién es responsable de qué.",Medium,Backlog,Feature
Landing — acceso diferenciado para recruiters universitarios,Dev,,Ya existe TalentCard.jsx en el portal. La landing podría tener un botón 'Ver atletas disponibles' que lleve a un área pública o con login separado para recruiters NCAA/NAIA. No está listo para la camada actual — dejar en backlog.,Low,Backlog,Feature
Landing — video hero (Content Management System),Dev,,El hero de la landing tiene un VideoPlaceholder. Necesita un admin panel (CMS) en el portal para que la persona de diseño/marketing pueda subir y actualizar el video sin tocar código. Supabase Storage + UI en portal.,Medium,Backlog,Feature
Landing — reescribir Home.jsx con nueva arquitectura,Dev,,"10 secciones: Hero (nuevo copy, 1 CTA), Stats (4° stat = 15+ universidades), El método TTPA (4 pilares), Lo que medimos (mock SwingVision + UTR sparkline + eval coach), Portal preview (tabla de períodos), Armando (nombre real + bio real), Para cada persona (atletas/padres/recruiters), Sede, Testimonios (placeholder), CTA (sin cambios). También fix nombre Alejandro→Armando en Nosotros.jsx.",High,In Progress,Feature
Coach Summary View — vista de todos los atletas,Dev,Phase 2 — Analytics,Editable: solo los atletas asignados al coach. Viewable: todos los atletas de la academia. Discutir diseño detallado después del CDS.,Medium,Done,Feature
CDS — Bloque 2: Auth rol Content + /registro-content,Dev,Phase 3 — Academy Tools,useAuth check content_managers → rol Content. Página /registro-content con código de acceso. Sidebar entry para Content.,High,Done,Feature
CDS — Bloque 1: DB + Storage migration,Dev,Phase 3 — Academy Tools,"Tablas: content_managers, content_blocks, media_assets. Bucket: public-media. RLS policies.",High,Done,Feature
CDS — Bloque 3: Panel de contenido,Dev,Phase 3 — Academy Tools,"3 tabs: Videos (pegar URL YT), Imágenes (upload a Storage), Texto (editor inline). Ruta /portal/contenido.",High,Done,Feature
CDS — Bloque 4: Páginas públicas consumen DB,Dev,Phase 3 — Academy Tools,"Home, CaminoUSA, Nosotros, Programas leen content_blocks y media_assets. Fallback a valores hardcodeados.",Medium,Backlog,Feature
CDS — Bloque 5: Mosaico de fotos de perfil (atletas y coaches),Dev,Phase 3 — Academy Tools,"Migration: foto_url a coaches. Tab 'Perfiles' en CDS: grid de atletas y coaches, click para subir/reemplazar foto. Dimensiones: 600×800 px.",High,Done,Feature
CDS — Bloque 6: Highlights por atleta (fotos + videos),Dev,Phase 3 — Academy Tools,"Tabla athlete_media. Tab 'Highlights' en CDS: selector de atleta → 5 fotos curadas (drag & drop) + slots de video por golpe (forehand, backhand, servicio, volea, devolución). Vista atleta: pendiente para después.",High,Done,Feature
feat: vista Equipo — summary view multi-atleta para coaches,Dev,,,,Done,
AMTP — Widget de ranking en perfil del atleta,Dev,,Mostrar posición AMTP del atleta en su perfil. Solo es un número (ej. '#12 Varonil AMTP'). Prerequisito: similarity search implementado para matchear nombres entre la plataforma y AMTP (ej. 'Marco Damián' → 'Marco A. Damián Aguilar'). Ver open item de sesión 2026-06-23.,Medium,Backlog,Feature
Planes trimestrales — generación con LLM y tracking en reportes mensuales,Dev,,"Cerrado en barrido de kanban (15 Jul 2026, confirmado por Marco) — task genérico sin scope propio, superado por los sub-tasks específicos de P&M v2 (guardrail dump quality, draft persistente, guard un plan/atleta/periodo, schema v2, rúbrica de objetivos, UI PlanesCoach, close-quarterly-plan) ya construidos o en In Review.",High,Done,Feature
Scope: rediseño de planning + measurement (objetivos medibles vs plan),Team,Phase 2 — Analytics,"Scope doc en docs/http://scope-planning-measurement.md. Cubre: objetivo como instrumento del -2..+2, gramática estándar, ejes de anclas, focos (≤5)+mantenimiento, ciclo de vida con cierre de loop, y handoff periodo→periodo (retrospective coach+atleta, status completed, trayectoria de scores como input, cold-start como captura). Modelo acordado, listo para build. Cerrado en barrido de kanban (13 Jul 2026, confirmado por Marco) — el modelo se construyó por completo (schema v2, EF generate/identify/regenerate, rúbrica de observaciones y objetivos, Mi Plan).",High,Done,Feature
